Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227570230, delta t=8.399261, sog_mes=5.300000, toa=1581.961487, id=1, nb_error= 3, nb_r=81, perc.=0.037037 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228381900, delta t=0.319794, sog_mes=0.100000, toa=1583.401764, id=3, nb_error= 5, nb_r=22 
Alert22: RI does not respect the vessel velocity specified by the AIS (ship at anchor),channel=1, mmsi=227612860, delta t=163.680481, sog_mes=0.000000, toa=1597.539490, id=3, nb_error= 8, nb_r=73 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=226263000, delta t=10.984589, sog_mes=12.300000, toa=1603.144287, id=1, nb_error= 4, nb_r=69, perc.=0.057971 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=226263000, delta t=19.238739, sog_mes=15.300000, toa=1632.519440, id=3, nb_error= 5, nb_r=67, perc.=0.074627 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=226263000, delta t=0.438934, sog_mes=15.900000, toa=1646.959747, id=3, nb_error= 6, nb_r=70, perc.=0.085714 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=226263000, delta t=3.599152, sog_mes=15.800000, toa=1652.159637, id=1, nb_error= 7, nb_r=72, perc.=0.097222 
Alert22: RI does not respect the vessel velocity specified by the AIS (ship at anchor), channel=1, mmsi=228768000, delta t=2.940338, sog_mes=3.900000, toa=1671.359161, id=3, nb_error= 3, nb_r=7 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=226263000, delta t=0.719940, sog_mes=15.800000, toa=1673.280029, id=1, nb_error= 8, nb_r=81, perc.=0.098765 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227006650, delta t=9.246277, sog_mes=0.000000, toa=1677.827179, id=1, nb_error= 4, nb_r=73, perc.=0.054795 
Alert22: RI does not respect the vessel velocity specified by the AIS (ship at anchor), channel=2, mmsi=228768000, delta t=6.980591, sog_mes=4.100000, toa=1678.339752, id=3, nb_error= 4, nb_r=8 
Alert22: RI does not respect the vessel velocity specified by the AIS (ship at anchor), channel=2, mmsi=228768000, delta t=2.379852, sog_mes=4.000000, toa=1680.719604, id=3, nb_error= 5, nb_r=9 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=226263000, delta t=0.720734, sog_mes=15.900000, toa=1683.085724, id=3, nb_error= 9, nb_r=85, perc.=0.105882 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=226263000, delta t=10.640137, sog_mes=16.000000, toa=1722.938904, id=3, nb_error= 10, nb_r=90, perc.=0.111111 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=226263000, delta t=0.821869, sog_mes=16.000000, toa=1725.161163, id=3, nb_error= 11, nb_r=92, perc.=0.119565 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228381900, delta t=5.038055, sog_mes=0.300000, toa=1729.279816, id=3, nb_error= 6, nb_r=64, perc.=0.093750 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227801800, delta t=10.801117, sog_mes=11.000000, toa=1732.841766, id=1, nb_error= 4, nb_r=87, perc.=0.045977 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227806500, delta t=10.722534, sog_mes=0.000000, toa=1740.240875, id=3, nb_error= 7, nb_r=80, perc.=0.087500 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227570230, delta t=8.400787, sog_mes=3.600000, toa=1761.961945, id=3, nb_error= 2, nb_r=81, perc.=0.024691 
