Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=226263000, delta t=20.059174, sog_mes=0.600000, toa=1111.899719, id=1, nb_error= 12, nb_r=75, perc.=0.160000 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=18.942017, sog_mes=0.000000, toa=1121.841034, id=1, nb_error= 27, nb_r=59, perc.=0.457627 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227347000, delta t=19.000305, sog_mes=0.000000, toa=1131.419312, id=1, nb_error= 9, nb_r=78, perc.=0.115385 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227347000, delta t=20.160431, sog_mes=0.000000, toa=1151.579742, id=1, nb_error= 10, nb_r=73, perc.=0.136986 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=20.479156, sog_mes=0.000000, toa=1152.619385, id=1, nb_error= 27, nb_r=57, perc.=0.473684 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227867000, delta t=29.919098, sog_mes=0.300000, toa=1161.498871, id=1, nb_error= 15, nb_r=66, perc.=0.227273 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006650, delta t=20.340149, sog_mes=0.000000, toa=1167.861023, id=1, nb_error= 3, nb_r=79, perc.=0.037975 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=226263000, delta t=18.756744, sog_mes=0.100000, toa=1171.900116, id=1, nb_error= 13, nb_r=74, perc.=0.175676 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=20.142059, sog_mes=0.000000, toa=1181.840942, id=1, nb_error= 28, nb_r=59, perc.=0.474576 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227347000, delta t=19.658813, sog_mes=0.000000, toa=1201.198456, id=1, nb_error= 11, nb_r=77, perc.=0.142857 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=19.939423, sog_mes=0.000000, toa=1212.078522, id=1, nb_error= 27, nb_r=57, perc.=0.473684 
