Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=425 , toa=1218.524170, slot_increment = -1, keep_flag = -1, nb_error= 24, nb_r=79, perc.=0.303797
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=235000322, mes id = 3, TS=754 , toa=1227.299103, slot_increment = 0, keep_flag = 0, nb_error= 4, nb_r=5, 
Alert3 : TS was not reserved by the ship mmsi=226263000, mes id = 3, TS=815 , toa=1228.939850, slot_increment = 265, keep_flag = 0, nb_error= 2, nb_r=74, perc.=0.027027
Alert3 : TS was not reserved by the ship mmsi=226263000, mes id = 3, TS=932 , toa=1232.059021, slot_increment = 512, keep_flag = 0, nb_error= 3, nb_r=76, perc.=0.039474
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=227998200, mes id = 3, TS=1238 , toa=1240.219696, slot_increment = 0, keep_flag = 0, nb_error= 4, nb_r=5, 
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=538009439, mes id = 3, TS=1308 , toa=1242.080536, slot_increment = 0, keep_flag = 0, nb_error= 4, nb_r=5, 
Alert3 : TS was not reserved by the ship mmsi=226263000, mes id = 3, TS=1821 , toa=1255.759979, slot_increment = 509, keep_flag = 0, nb_error= 4, nb_r=82, perc.=0.048780
Alert3 : TS was not reserved by the ship mmsi=227347000, mes id = 3, TS=2063 , toa=1262.221130, slot_increment = -1, keep_flag = -1, nb_error= 5, nb_r=75, perc.=0.066667
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=26 , toa=1267.884583, slot_increment = -1, keep_flag = -1, nb_error= 23, nb_r=78, perc.=0.294872
Alert3 : TS was not reserved by the ship mmsi=227347000, mes id = 3, TS=1293 , toa=1301.680023, slot_increment = -1, keep_flag = -1, nb_error= 6, nb_r=73, perc.=0.082192
Alert3 : TS was not reserved by the ship mmsi=227574030, mes id = 3, TS=1833 , toa=1316.080017, slot_increment = -1, keep_flag = -1, nb_error= 1, nb_r=87, perc.=0.011494
Alert3 : TS was not reserved by the ship mmsi=227867000, mes id = 3, TS=2073 , toa=1322.481049, slot_increment = -1, keep_flag = -1, nb_error= 5, nb_r=69, perc.=0.072464
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=372430000, mes id = 3, TS=2150 , toa=1324.522644, slot_increment = 0, keep_flag = 0, nb_error= 5, nb_r=5, 
Alert3 : TS was not reserved by the ship mmsi=226263000, mes id = 3, TS=581 , toa=1342.683594, slot_increment = -1, keep_flag = -1, nb_error= 5, nb_r=81, perc.=0.061728
Alert3 : TS was not reserved by the ship mmsi=227867000, mes id = 3, TS=959 , toa=1352.778564, slot_increment = -1, keep_flag = -1, nb_error= 6, nb_r=66, perc.=0.090909
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=1562 , toa=1368.845520, slot_increment = -1, keep_flag = -1, nb_error= 23, nb_r=83, perc.=0.277108
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=563071100, mes id = 3, TS=2167 , toa=1384.984253, slot_increment = 5366, keep_flag = 0, nb_error= 1, nb_r=6, 
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=235000322, mes id = 3, TS=751 , toa=1407.219086, slot_increment = 0, keep_flag = 0, nb_error= 5, nb_r=5, 
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=797 , toa=1408.444672, slot_increment = -1, keep_flag = -1, nb_error= 22, nb_r=81, perc.=0.271605
Alert3 : TS was not reserved by the ship mmsi=228381900, mes id = 1, TS==982, toa=1413.398315, slot_timeout =-1 , slot_offset = -1, nb_error= 1, nb_r=6 
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=227998200, mes id = 3, TS=1252 , toa=1420.579437, slot_increment = 0, keep_flag = 0, nb_error= 5, nb_r=5, 
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=538009439, mes id = 3, TS=1307 , toa=1422.042847, slot_increment = 0, keep_flag = 0, nb_error= 5, nb_r=5, 
Alert3 : TS was not reserved by the ship mmsi=228381900, mes id = 1, TS==1391, toa=1424.282379, slot_timeout =-1 , slot_offset = -1, nb_error= 2, nb_r=7 
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=1204 , toa=1479.301697, slot_increment = -1, keep_flag = -1, nb_error= 21, nb_r=82, perc.=0.256098
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=1564 , toa=1488.900848, slot_increment = -1, keep_flag = -1, nb_error= 22, nb_r=83, perc.=0.265060
Alert3 : TS was not reserved by the ship mmsi=228394000, mes id = 3, TS=1654 , toa=1491.299377, slot_increment = -1, keep_flag = -1, nb_error= 2, nb_r=87, perc.=0.022989
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=372430000, mes id = 3, TS=2088 , toa=1502.880829, slot_increment = 0, keep_flag = 0, nb_error= 5, nb_r=5, 
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=230138350, mes id = 3, TS=155 , toa=1511.321899, slot_increment = 5381, keep_flag = 0, nb_error= 1, nb_r=5, 
Alert3 : TS was not reserved by the ship mmsi=227002630, mes id = 3, TS=364 , toa=1516.899231, slot_increment = -1, keep_flag = -1, nb_error= 1, nb_r=81, perc.=0.012346
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=227306100, mes id = 3, TS=559 , toa=1522.099731, slot_increment = 5338, keep_flag = 0, nb_error= 1, nb_r=4, 
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=228768000, mes id = 3, TS=1915 , toa=1558.259369, slot_increment = 0, keep_flag = 0, nb_error= 1, nb_r=5, 
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=228768000, mes id = 3, TS=1974 , toa=1559.841187, slot_increment = 0, keep_flag = 0, nb_error= 2, nb_r=6, 
